 time,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
0.1796875,3849.230675,4255.897332,4601.538349,4177.435795,3759.487088,4319.487074,4012.307594,4192.30759,4321.025535,4010.256312,4291.281946,4262.563998,4393.846046,4246.666563
0.1875,3843.58965,4254.871691,4590.769119,4169.743488,3754.358883,4311.281946,4013.846056,4186.666564,4321.538356,4009.230671,4287.179382,4253.333229,4391.281944,4242.051178
0.1953125,3839.487086,4259.999896,4581.025529,4159.999898,3748.717857,4310.769125,4023.076825,4190.256308,4323.589638,4007.69221,4285.640921,4250.256306,4388.205021,4239.999896
0.203125,3841.538368,4265.128101,4584.102452,4156.922975,3748.205037,4313.333228,4022.051184,4205.640923,4329.230663,4017.435799,4288.205023,4258.461434,4390.256303,4243.076819
0.2109375,3841.538368,4267.692203,4591.281939,4162.564001,3746.153755,4314.358869,4021.025543,4219.999897,4330.769125,4026.666568,4294.358869,4265.128101,4393.846046,4247.179383
0.21875,3845.128111,4269.743485,4595.384503,4170.256308,3743.076832,4316.410151,4029.230671,4226.666563,4330.256304,4029.230671,4298.974254,4270.256306,4394.871687,4252.820409
0.2265625,3847.692214,4264.10246,4593.846042,4168.205026,3743.076832,4314.358869,4027.692209,4221.025538,4330.256304,4026.666568,4292.820408,4272.820408,4391.794764,4252.820409
0.234375,3845.640932,4261.538357,4587.692196,4167.179385,3736.922986,4312.820407,4026.153748,4211.281948,4329.230663,4016.410158,4283.589639,4265.128101,4387.6922,4247.692204
0.2421875,3846.666573,4267.692203,4589.230657,4175.384513,3727.179396,4316.922971,4037.948619,4215.897333,4325.64092,4013.333235,4286.153741,4262.051178,4385.640918,4249.743486
0.25,3847.179393,4264.61528,4591.281939,4177.435795,3730.76914,4313.333228,4041.025542,4216.410153,4323.076817,4017.435799,4288.717844,4263.589639,4386.666559,4250.256306
0.2578125,3842.564009,4253.84605,4585.640914,4167.179385,3733.846063,4298.461433,4026.153748,4196.922974,4319.487074,4007.179389,4277.435793,4258.461434,4383.076816,4238.974255
0.265625,3838.461445,4256.922973,4578.461427,4164.615283,3722.051191,4289.230664,4015.897338,4183.076821,4318.974253,3996.922979,4270.769126,4253.333229,4377.948611,4231.794768
0.2734375,3844.10247,4263.589639,4584.102452,4174.871693,3714.358884,4287.179382,4012.307594,4182.05118,4321.025535,4005.640928,4279.487075,4262.563998,4382.051175,4237.948614
0.28125,3853.84606,4260.512716,4590.769119,4185.640923,3722.051191,4287.692203,4012.307594,4185.640923,4321.025535,4015.384517,4287.179382,4272.307588,4390.769123,4245.128101
0.2890625,3852.307598,4256.922973,4594.358862,4187.692205,3723.076832,4290.256305,4021.025543,4191.794769,4322.051176,4012.820415,4287.692203,4272.820408,4389.743482,4244.615281
0.296875,3843.58965,4258.461434,4593.846042,4191.281949,3721.538371,4295.38451,4030.256312,4199.487077,4326.666561,4016.410158,4289.743485,4271.794767,4388.205021,4246.666563
0.3046875,3845.128111,4261.538357,4596.410144,4193.846051,3733.846063,4298.974254,4028.20503,4201.538359,4327.179381,4024.615286,4294.87169,4277.435793,4394.871687,4252.820409
0.3125,3849.743496,4265.128101,4596.410144,4190.769128,3741.02555,4299.999895,4027.692209,4208.717846,4326.666561,4028.71785,4298.461433,4278.461434,4398.461431,4254.35887
0.3203125,3844.10247,4268.717844,4590.769119,4188.717846,3725.640935,4298.461433,4036.410158,4224.102461,4329.743484,4027.179389,4295.897331,4272.820408,4393.846046,4254.35887
0.328125,3837.435804,4269.230665,4584.615273,4186.153744,3715.897345,4298.461433,4039.999901,4232.820409,4330.256304,4021.538363,4289.743485,4271.281947,4388.717841,4254.35887
0.3359375,3839.487086,4271.794767,4582.05117,4176.410154,3723.589653,4293.333228,4025.128107,4219.999897,4323.589638,4012.307594,4283.589639,4272.820408,4384.615277,4252.307588
0.34375,3841.025547,4276.410152,4579.487068,4165.128103,3726.666576,4284.102459,4012.820415,4196.410154,4317.948612,4003.076825,4278.461434,4271.281947,4381.538354,4249.743486
0.3515625,3843.58965,4275.384511,4577.435786,4159.487078,3719.999909,4284.61528,4017.435799,4186.153744,4316.410151,3997.94862,4274.35887,4271.281947,4382.051175,4249.743486
0.359375,3849.230675,4274.87169,4579.999888,4158.974257,3725.640935,4290.769126,4021.538363,4190.256308,4319.999894,4002.564005,4276.410152,4276.410152,4385.640918,4250.256306
0.3671875,3857.435803,4286.666562,4585.640914,4163.589642,3743.589652,4293.333228,4019.999902,4195.897333,4325.128099,4014.358876,4285.640921,4282.563998,4389.743482,4255.384511
